timestamp,close,high,low,trade_count,open,volume,vwap,log_return
2024-01-02 09:30:00-05:00,471.92,472.8,471.88,39730,472.16,5013299,472.446436,-0.001123702824669337
2024-01-02 09:40:00-05:00,471.39,472.1,471.39,27945,471.92,3251054,471.787878,0.0018650790646868032
2024-01-02 09:50:00-05:00,472.27,472.2701,471.36,27517,471.395,3681586,471.661982,4.2347759809935326e-05
2024-01-02 10:00:00-05:00,472.29,472.71,471.98,30144,472.275,2046346,472.381947,-0.00048710754391390054
2024-01-02 10:10:00-05:00,472.06,472.46,471.96,19353,472.3,1852309,472.176032,-0.0006357144584843155
2024-01-02 10:20:00-05:00,471.76,472.42,471.59,17083,472.06,1911095,472.037287,-0.000519466763159393
2024-01-02 10:30:00-05:00,471.515,471.77,471.3,16860,471.77,1798970,471.482676,0.0003286735929757256
2024-01-02 10:40:00-05:00,471.67,472.07,471.48,12745,471.51,1421804,471.714024,2.120103885161484e-05
2024-01-02 10:50:00-05:00,471.68,471.89,471.4701,11243,471.6698,1044784,471.683816,0.0010620206596225756
2024-01-02 11:00:00-05:00,472.1812,472.205,471.63,13098,471.67,1286909,471.914293,8.216846827835411e-05
2024-01-02 11:10:00-05:00,472.22,472.45,471.96,12661,472.1875,1350443,472.233351,0.00023291514583068107
2024-01-02 11:20:00-05:00,472.33,472.35,471.98,9137,472.21,1561214,472.157314,0.0002116939759799763
2024-01-02 11:30:00-05:00,472.43,472.63,472.27,10556,472.32,1318377,472.484071,0.0014169834546482463
2024-01-02 11:40:00-05:00,473.0999,473.16,472.37,12444,472.42,1574968,472.789456,0.00017986126636859723
2024-01-02 11:50:00-05:00,473.185,473.29,472.86,10854,473.095,1230791,473.089677,0.0
2024-01-02 12:00:00-05:00,473.185,473.355,473.11,7939,473.19,809241,473.22864,-0.00034876163552866046
2024-01-02 12:10:00-05:00,473.02,473.36,472.77,12238,473.17,2478075,473.092209,-9.513792363335938e-05
2024-01-02 12:20:00-05:00,472.975,473.225,472.91,10220,473.03,1292505,473.049322,0.0010882601064521324
2024-01-02 12:30:00-05:00,473.49,473.52,472.94,9047,472.975,1164469,473.229705,-0.0009297019284826291
2024-01-02 12:40:00-05:00,473.05,473.67,472.88,9072,473.5,1298495,473.323408,-0.0008459342790594349
2024-01-02 12:50:00-05:00,472.65,473.07,472.59,10107,473.05,1898720,472.781579,-0.0005777612863848702
2024-01-02 13:00:00-05:00,472.377,472.65,472.31,9146,472.65,953107,472.493984,0.0006623869237722957
2024-01-02 13:10:00-05:00,472.69,472.78,472.28,9714,472.37,1279024,472.557352,-6.24107143529784e-05
2024-01-02 13:20:00-05:00,472.6605,472.97,472.53,7257,472.6993,800798,472.743873,0.000444829279511616
2024-01-02 13:30:00-05:00,472.8708,472.91,472.45,11190,472.66,2273420,472.738099,-0.0004035743031245431
2024-01-02 13:40:00-05:00,472.68,472.9597,472.61,8720,472.86,1818315,472.808056,-0.0011221068588573857
2024-01-02 13:50:00-05:00,472.1499,472.68,472.0,11597,472.68,1508612,472.332734,-0.0008049412254420574
2024-01-02 14:00:00-05:00,471.77,472.25,471.545,15384,472.13,1723509,471.88043,-2.1196994266503566e-05
2024-01-02 14:10:00-05:00,471.76,472.085,471.69,12000,471.75,1282094,471.869238,0.00025454619965437075
2024-01-02 14:20:00-05:00,471.8801,471.94,471.6,9249,471.76,1340257,471.7451,-0.0007422011192614875
2024-01-02 14:30:00-05:00,471.53,472.06,471.52,10187,471.86,1661561,471.771198,-0.00033089264956664977
2024-01-02 14:40:00-05:00,471.374,471.66,471.35,11305,471.5378,2006726,471.53239,-0.0009529884547925249
2024-01-02 14:50:00-05:00,470.925,471.51,470.92,14382,471.38,2378921,471.188505,-0.0005416341553088344
2024-01-02 15:00:00-05:00,470.67,470.98,470.49,21963,470.9275,3190462,470.734783,0.0006159532070322271
2024-01-02 15:10:00-05:00,470.96,471.07,470.525,15159,470.67,2031650,470.765557,-0.0001061717647807825
2024-01-02 15:20:00-05:00,470.91,471.02,470.67,14916,470.96,2393118,470.873964,-0.0003185829457637013
